Contaminant Level (ppm),Population Density (people per km²),Access to Clean Water (% of Population),pH Level,Turbidity (NTU),Rainfall (mm per year),Healthcare Access Index (0-100),Region,Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Temperature (°C),GDP per Capita (USD),Country,Sanitation Coverage (% of Population),Bacteria Count (CFU/mL),"Diarrheal Cases per 100,000 people"
6.06,593,33.6,7.12,3.93,2800,96.92,North,4.28,8.28,4.94,57057,Mexico,63.23,3344,472
5.24,234,89.54,7.84,4.79,1572,84.73,West,3.86,15.74,16.93,17220,Brazil,29.12,2122,122
0.24,57,35.29,6.43,0.79,2074,58.37,Central,3.42,36.67,21.73,86022,Indonesia,93.56,2330,274
7.91,555,57.53,6.71,1.96,937,39.07,East,3.12,36.92,3.79,31166,Nigeria,94.25,3779,3
0.12,414,36.6,8.16,4.22,2295,23.03,South,9.15,49.35,31.44,25661,Mexico,69.23,4182,466
2.93,775,69.48,8.21,4.03,2530,53.45,West,8.66,31.35,8.01,84334,Ethiopia,51.11,880,258
0.06,584,55.43,6.11,3.12,1573,34.56,East,6.97,44.98,22.42,6726,China,68.6,2977,208
3.76,111,44.17,6.42,1.35,940,7.27,Central,9.99,2.73,19.64,76593,Mexico,70.22,1172,397
0.63,538,71.66,6.29,1.42,2150,47.62,North,9.67,28.31,36.23,5470,Indonesia,69.77,159,265
9.14,250,55.44,6.45,0.62,2083,57.11,Central,7.59,45.99,35.73,72858,Nigeria,78.67,2493,261
4.16,299,41.68,8.43,4.61,1144,61.13,South,6.25,14.36,9.54,51303,Brazil,25.37,2129,286
4.59,265,79.01,7.38,0.86,1927,7.38,West,4.07,7.74,21.54,50972,Indonesia,28.2,3078,30
3.5,956,88.58,7.17,2.86,1535,48.31,West,6.61,17.53,39.42,35058,Indonesia,42.62,2229,175
6.28,370,49.16,8.46,2.92,2829,65.59,South,4.1,39.61,13.27,68917,China,47.98,2917,8
7.84,76,43.05,7.39,1.85,1184,96.11,East,5.79,4.24,2.95,50606,Bangladesh,71.04,3013,203
6.48,289,35.27,7.65,1.76,1756,2.5,East,9.6,30.02,28.72,6043,Nigeria,33.75,1549,107
7.48,415,66.95,6.83,3.34,2051,67.63,West,5.39,6.78,20.13,7630,India,63.28,4573,123
9.06,787,88.19,6.96,1.94,2136,6.23,West,4.07,21.78,37.59,51718,Indonesia,34.83,3385,237
8.64,14,47.56,7.49,1.28,432,15.88,North,7.08,48.3,23.01,14634,Bangladesh,48.44,1579,409
6.74,552,62.24,6.17,2.0,944,17.33,East,7.22,9.76,20.46,80375,India,94.84,3371,129
2.15,161,41.26,6.64,4.04,984,32.89,South,4.36,1.7,36.59,31686,Nigeria,91.66,1960,233
6.38,276,58.29,6.49,4.83,964,83.13,East,4.38,21.36,15.22,27313,USA,96.25,3844,3
5.06,572,31.08,6.04,3.18,910,85.62,North,9.93,28.88,23.9,55052,Ethiopia,67.31,4697,479
7.17,768,93.75,7.34,3.91,1888,37.5,West,4.7,14.88,33.83,41522,Bangladesh,60.1,2390,219
8.33,57,77.36,7.4,2.66,1897,43.13,West,8.87,27.09,23.9,75241,Pakistan,87.91,1419,261
7.43,343,53.3,6.96,3.12,2017,21.7,North,6.29,47.67,11.91,6633,USA,26.37,3917,29
8.47,653,91.68,6.67,4.94,2253,43.25,South,6.04,15.59,22.33,51641,Ethiopia,98.28,3835,438
0.64,145,42.81,7.63,2.19,1233,27.48,West,5.06,15.47,17.28,59746,China,56.99,4428,411
0.32,528,35.51,6.34,0.33,1560,17.49,Central,8.42,24.14,39.39,84224,Mexico,74.06,4450,316
2.59,492,95.98,7.3,4.79,2890,15.85,West,9.16,25.77,2.04,69361,Brazil,78.28,3630,76
9.01,128,51.63,7.92,3.97,2359,77.56,Central,4.83,0.07,30.72,6473,Pakistan,70.31,4942,182
8.24,297,95.52,6.41,1.99,2327,11.69,North,3.67,30.79,0.96,55543,China,91.32,162,365
6.83,351,74.63,7.88,4.91,2700,61.6,North,3.96,49.87,24.16,72246,Nigeria,43.05,115,291
